x1,x2,x3,x10,x12,x13,x15,x16,x18,x19,x20,x24,x26,x27,x28,x29,x36,x39,x40,x41,y
274,287,16,0,1232,69,91,78,35,24,264,13,8,0.88,367,48,13,0,0,2,0
85,75,4,1,0,46,24,37,20,6,2,3,4,1,89,20,3,0,2,4,0
7,12,0,0,0,0,0,0,0,0,0,0,4,0.75,115,1,1,0,0,4,0
115,118,25,0,31,4,100,35,16,69,35,6,7,1,367,57,6,0,0,3,0
85,119,11,0,0,34,22,31,28,6,1,9,9,1.11,375,18,4,0,0,4,0
91,59,7,0,0,39,23,24,18,8,1,14,6,1,368,30,4,0,0,3,0
21,14,2,0,0,9,9,14,7,0,1,2,4,1.75,376,6,1,0,0,6,0
101,66,3,0,0,39,32,44,5,0,13,1,7,0.86,35,17,4,0,0,1,0
47,41,11,0,32,52,54,9,44,45,34,2,3,1.33,94,158,5,0,0,2,0
2,4,0,0,0,0,0,0,0,0,0,0,2,1,134,1,0,0,0,6,0
183,163,8,2,0,128,89,25,81,4,4,8,6,0.83,60,31,4,0,1,2,0
4,7,0,0,0,0,0,0,0,1,4,0,1,0,106,5,1,0,0,6,0
75,41,1,0,0,18,41,62,13,3,0,13,7,1,17,159,5,0,0,5,0
33,17,2,0,0,11,4,16,6,3,16,2,4,1,81,14,3,0,0,6,0
115,123,0,0,4,35,115,60,8,1,27,18,5,0.8,192,244,5,0,0,2,0
70,40,4,0,1,25,35,32,2,12,21,6,5,1.4,22,128,7,0,0,0,0
38,45,6,0,0,0,0,1,0,35,14,0,6,1.17,370,73,1,0,0,4,0
47,26,1,0,0,0,0,0,0,9,3,0,6,0.83,68,15,4,0,0,2,0
117,81,4,0,0,43,49,55,29,4,7,10,8,0.88,23,19,5,0,0,4,0
105,62,10,0,0,50,30,57,18,10,27,10,4,0.75,378,37,4,0,0,6,0
171,106,16,0,0,34,48,59,30,32,90,15,6,0.83,376,41,13,0,0,6,0
14,27,4,0,0,0,0,0,0,9,9,0,2,0.5,167,43,0,0,0,5,0
32,13,3,0,0,17,7,19,6,4,0,1,2,2,88,3,2,0,0,2,0
12,19,4,0,0,0,0,0,0,0,1,0,2,2.5,65,1,0,0,0,6,0
110,75,5,1,0,60,71,80,34,2,2,7,6,1,43,40,5,0,1,5,0
54,50,8,2,0,34,27,39,2,10,15,2,3,1.67,58,26,4,0,0,4,0
21,31,11,0,0,0,0,0,0,2,8,0,2,0.5,163,7,0,0,0,1,0
8,5,1,0,0,0,0,0,5,1,0,0,2,0.5,150,12,1,0,0,6,0
66,42,3,0,0,36,32,33,9,3,0,2,6,1,40,29,4,0,0,5,0
16,14,3,0,0,9,1,0,7,1,0,0,1,0,182,5,0,0,0,4,0
4,7,1,0,0,0,0,0,0,0,0,1,2,1.5,90,1,0,0,0,2,0
1,2,1,0,0,0,0,0,0,1,0,0,1,0,161,3,1,0,0,6,0
8,15,0,0,0,0,0,0,0,0,0,0,2,0.5,159,5,1,0,0,3,0
1,2,0,0,0,0,0,0,0,0,0,0,2,0.5,137,1,1,0,0,5,0
1,2,1,0,0,0,0,0,0,0,0,0,1,0,70,2,0,0,0,3,0
154,144,38,0,193,36,18,56,20,26,74,15,6,1.17,373,77,8,0,0,6,0
76,42,2,0,0,50,53,52,20,0,1,1,4,1.5,43,348,5,0,0,2,0
0,9,0,0,0,0,48,23,0,1,0,0,2,0.5,129,7,2,0,0,3,0
134,132,4,0,0,52,18,42,20,4,10,11,7,0.86,39,15,5,0,0,6,0
83,29,0,0,0,49,16,35,34,17,2,0,1,0,90,84,4,0,0,4,0
13,25,4,0,0,0,0,0,2,1,6,0,3,1,107,5,0,0,0,6,0
128,92,0,0,0,50,20,34,21,6,78,3,6,0.83,373,47,8,0,0,5,0
70,52,7,0,0,26,25,29,9,8,4,5,4,1.75,21,17,3,0,0,2,0
186,136,34,0,0,51,157,90,44,42,25,33,8,0.88,22,127,11,0,1,4,0
137,68,3,0,0,22,38,59,22,4,31,12,5,0.8,69,44,9,0,0,4,0
17,31,0,0,14,0,0,0,0,0,0,0,5,0.8,60,4,2,0,0,1,0
94,48,10,0,8,48,17,28,21,15,5,11,5,0.8,65,29,7,0,0,5,0
68,41,1,0,0,25,17,30,18,1,0,5,6,1.17,372,5,3,0,0,3,0
50,29,7,0,0,92,52,36,1,10,11,4,5,1.4,374,99,1,0,0,2,0
11,17,2,0,0,0,0,0,0,1,0,1,3,1.33,87,17,1,0,0,2,0
105,39,4,0,0,33,53,66,15,5,86,7,5,0.8,69,28,8,0,0,3,0
54,21,2,0,0,25,25,29,10,2,0,2,4,1.5,15,100,3,0,0,3,0
106,126,18,0,589,26,11,30,10,20,33,30,6,0.83,43,92,6,0,0,5,0
147,276,1,0,0,60,48,63,0,33,108,8,6,1,216,291,6,0,0,6,0
73,25,0,0,0,34,26,40,12,0,4,11,5,1.2,375,15,3,0,0,3,0
48,6,3,0,0,25,32,22,10,6,13,4,4,1.25,56,17,4,0,0,5,0
42,61,11,0,548,0,0,0,0,45,17,0,5,1.4,23,21,4,0,0,4,0
61,35,2,0,0,25,15,14,19,1,0,7,5,1,68,48,3,0,0,2,0
67,63,7,0,0,0,47,36,14,8,31,5,5,0.8,85,25,7,0,0,5,0
73,37,0,0,0,39,66,29,12,0,0,19,6,1.17,375,32,2,0,0,4,0
4,2,0,0,0,0,67,0,0,0,0,1,3,1.33,94,14,1,0,0,4,0
99,61,0,0,0,34,16,41,27,9,25,10,6,1,378,29,7,0,0,2,0
119,116,4,0,0,105,30,35,38,13,37,15,6,1.17,374,50,6,0,0,2,0
193,120,5,0,0,44,65,92,45,20,18,26,5,0.8,19,201,15,0,0,5,0
5,11,1,0,0,0,0,0,0,0,0,0,2,2.5,60,1,0,0,0,2,0
43,15,6,0,0,35,35,37,0,4,6,10,5,1.4,381,33,3,0,0,2,0
1,2,1,0,0,0,0,0,0,1,0,0,2,0.5,163,1,0,0,0,5,0
70,25,13,0,0,36,30,43,20,13,2,10,6,1,374,20,5,0,0,6,0
5,9,0,0,0,0,0,0,0,0,0,0,3,1.33,375,1,0,0,0,4,0
34,20,0,0,0,0,49,24,0,0,5,6,4,1,57,19,3,0,0,2,0
121,135,20,0,66,52,18,58,29,45,35,1,4,1,21,68,7,0,0,1,0
146,177,14,0,1749,0,0,0,6,50,78,3,7,0.86,370,206,9,0,0,1,0
12,21,6,0,0,0,0,0,12,3,0,0,4,0.75,108,1,0,0,0,1,0
36,31,1,0,0,33,27,20,9,1,0,3,5,1,374,16,2,0,0,2,0
6,13,0,0,0,0,0,0,0,0,0,0,3,1.33,87,1,1,0,0,1,0
34,36,5,0,0,11,13,15,7,5,3,2,3,1.33,17,12,2,0,0,2,0
84,21,1,0,0,44,23,45,24,0,0,14,7,1,369,13,5,0,0,2,0
77,60,0,0,0,30,24,31,15,6,45,8,5,1,63,22,6,0,0,2,0
77,65,25,0,0,36,37,30,2,25,25,8,5,1.4,9,34,4,0,0,3,0
0,71,0,1,0,0,0,0,0,0,0,0,6,1,22,154,0,0,0,1,0
105,73,13,0,734,36,21,43,0,25,18,4,4,0.75,0,326,8,0,0,2,0
0,32,0,0,8,48,69,97,3,12,0,4,4,0.75,88,250,5,0,0,1,0
138,34,22,0,0,59,31,42,35,49,21,25,6,0.83,45,489,10,0,0,3,0
36,15,0,0,0,35,37,31,1,1,2,5,3,0.67,116,117,2,0,0,2,0
92,55,0,0,8,47,50,48,7,7,33,5,6,0.83,60,214,7,0,0,4,0
121,98,10,0,0,63,32,35,39,12,109,2,7,0.86,24,24,8,0,0,2,0
118,132,0,0,0,45,43,41,33,3,17,13,6,0.83,8,236,9,0,0,2,0
51,57,11,0,0,0,33,21,11,14,11,0,5,1.2,21,22,3,0,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,187,1,0,0,0,4,0
75,44,8,0,0,38,17,46,37,10,2,2,7,1,18,13,5,0,0,5,0
71,48,5,0,0,26,22,29,13,8,55,2,6,1,40,9,5,0,0,2,0
58,102,6,0,169,9,3,10,12,10,49,1,3,0.67,115,81,2,0,0,6,0
74,86,7,0,0,17,8,18,16,15,11,2,4,1,86,26,4,0,0,6,0
2,4,0,0,0,0,0,0,0,0,0,0,1,0,162,1,0,0,0,2,0
54,49,1,0,0,18,9,8,13,0,1,1,5,1.4,366,8,3,0,0,4,0
81,40,4,0,0,25,32,47,25,13,36,24,5,1.4,376,32,2,0,0,2,0
25,35,0,0,0,16,0,0,3,0,0,2,5,1.2,37,4,1,0,0,4,0
35,62,4,0,190,0,0,0,0,8,20,0,3,2.33,375,29,0,0,0,4,0
116,49,12,0,0,38,92,57,34,40,23,1,7,0.86,44,38,10,0,0,2,0
128,117,23,1,47,100,17,36,69,30,4,3,6,1.17,19,23,5,0,1,3,0
81,40,3,0,0,52,18,27,18,1,0,11,8,0.88,11,25,5,0,0,1,0
78,58,1,0,0,34,7,16,23,1,14,1,8,0.88,22,39,4,0,1,6,0
60,49,1,0,0,39,21,14,6,1,0,4,5,1,367,19,2,0,0,2,0
111,242,11,0,13,38,22,63,63,8,3,13,7,0.86,37,25,5,0,0,6,0
146,124,21,0,0,81,29,35,133,48,10,19,7,0.86,43,19,4,0,0,2,0
1,10,5,0,0,0,0,0,3,2,3,0,2,2,91,6,0,0,0,4,0
87,42,1,0,0,42,65,62,20,8,24,7,6,1.17,377,60,4,0,0,2,0
71,26,8,0,0,59,63,119,11,6,6,10,6,1,45,40,5,0,0,6,0
12,22,5,0,0,3,0,0,1,1,2,0,3,1.33,89,3,1,0,0,4,0
3,6,1,0,0,0,0,0,5,1,1,0,2,1,130,1,0,0,0,1,0
78,56,3,0,0,38,46,34,12,3,20,9,4,0.75,376,62,3,0,0,3,0
78,36,6,0,0,39,16,41,20,3,5,11,7,1,370,19,5,0,0,1,0
77,50,8,0,0,34,21,31,18,8,2,7,3,0.67,70,28,5,0,0,4,0
56,101,7,0,0,0,0,0,9,20,8,15,6,1.17,20,106,4,0,0,5,0
16,8,1,0,0,0,20,8,1,1,1,0,1,0,85,16,1,0,0,5,0
128,104,7,0,251,34,15,51,65,6,65,4,6,0.83,68,20,8,0,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,165,1,0,0,0,2,0
68,25,3,0,0,65,24,8,21,3,1,7,5,1.4,20,130,2,0,0,5,0
60,48,5,0,9,29,59,29,7,11,35,1,5,1.4,369,34,4,0,0,5,0
99,75,2,0,157,111,38,53,38,1,19,7,7,1,371,25,5,0,1,4,0
50,39,2,0,29,14,6,13,6,4,62,0,2,0.5,140,68,8,0,0,4,0
95,43,4,0,0,54,39,19,19,0,1,6,6,1,47,7,4,0,0,2,0
16,32,7,0,0,0,3,0,0,23,18,3,3,1.33,381,40,1,0,0,1,0
17,19,2,0,0,4,5,0,3,1,3,6,3,0.67,143,5,2,0,0,3,0
141,62,21,0,75,71,36,39,182,64,26,3,6,0.83,67,23,7,0,0,2,0
107,106,3,0,0,34,20,45,43,0,0,9,9,5,35,16,5,0,0,5,0
18,15,0,0,0,0,2,0,0,2,6,0,2,1,112,11,2,0,0,3,0
83,47,2,0,0,47,21,59,18,4,0,2,7,0.86,21,145,4,0,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,2,1.5,107,1,0,0,0,6,0
7,24,2,1,0,0,0,0,0,2,10,0,3,2.33,373,2,0,0,0,1,0
77,55,3,0,335,28,9,19,40,10,63,3,6,1,42,12,7,0,0,5,0
18,15,1,0,0,0,0,0,0,0,0,0,4,1.5,39,2,0,0,0,1,0
87,49,0,0,1,41,124,37,5,6,58,8,5,1,31,78,9,0,0,2,0
126,138,1,0,0,48,20,50,15,9,27,21,7,0.86,21,53,8,0,0,5,0
91,62,4,0,0,37,45,31,24,6,3,8,7,0.86,39,12,4,0,0,2,0
85,81,0,0,0,25,38,22,9,0,0,13,6,1.17,374,17,4,0,0,2,0
103,79,13,0,17,36,16,28,18,16,23,4,5,0.8,33,19,4,0,0,6,0
77,55,24,0,0,0,247,57,0,23,12,11,7,1,376,13,5,0,0,2,0
5,7,1,0,0,0,0,0,4,3,2,0,1,0,162,5,1,0,0,3,0
31,23,2,0,0,29,5,2,6,1,0,0,5,1.4,377,47,2,0,0,0,0
1,16,0,0,0,0,0,0,0,0,1,0,2,3.5,379,5,0,0,0,6,0
36,50,6,0,0,0,0,0,6,12,24,2,5,18,116,6,5,0,0,5,0
54,43,2,0,0,57,17,17,10,1,1,2,4,0.75,91,14,3,0,1,3,0
48,25,1,0,0,40,5,9,12,1,0,2,4,1.25,59,15,1,0,0,3,0
181,34,11,0,2385,157,107,74,63,60,17,13,6,1,41,69,10,0,0,5,0
43,53,0,0,375,0,0,0,0,12,22,0,3,0.67,131,18,2,0,0,5,0
19,23,3,0,0,7,1,1,3,2,1,0,1,0,175,129,0,0,0,4,0
116,108,23,0,0,43,20,31,40,8,8,2,8,0.88,21,24,5,0,0,4,0
141,113,10,0,54,35,25,56,33,24,17,19,7,0.86,33,17,9,0,0,2,0
88,78,4,0,74,0,52,36,19,3,0,19,7,1,20,48,5,0,0,5,0
29,17,2,0,0,15,14,21,16,0,0,1,2,0.5,152,37,1,0,0,4,0
7,19,1,0,0,0,0,0,3,1,0,1,4,1.5,38,3,1,0,0,5,0
4,7,1,0,0,0,0,0,0,1,0,0,3,0.67,131,6,0,0,0,2,0
78,38,3,0,0,36,15,51,18,1,0,4,5,1,65,23,5,0,0,5,0
42,17,5,0,0,80,10,9,15,12,14,0,3,1,94,16,2,0,0,4,0
38,41,14,0,0,0,23,2,0,10,19,0,4,1.5,47,67,4,0,0,4,0
0,21,0,0,0,9,41,16,1,5,6,3,3,1,376,17,1,0,0,3,0
90,66,13,0,0,34,18,45,27,12,5,8,5,1.4,10,17,4,0,0,5,0
30,56,2,0,0,5,0,0,16,2,14,1,5,1.4,379,3,2,0,0,2,0
7,8,0,0,0,0,0,3,0,1,2,0,1,0,177,24,1,0,0,4,0
72,61,9,0,73,19,14,11,12,29,24,0,6,1,22,31,8,0,0,5,0
38,33,10,0,0,23,10,8,6,10,0,2,4,1.75,378,10,3,0,0,2,0
35,5,0,0,0,34,32,34,7,8,13,7,4,1,34,32,5,0,0,6,0
7,17,0,0,0,0,0,0,0,0,0,1,1,0,188,5,0,0,0,3,0
65,37,16,0,0,34,40,24,0,49,18,19,6,1,38,8,4,0,0,1,0
138,74,5,0,1716,79,69,45,33,20,34,19,6,0.83,66,60,9,0,0,0,0
9,10,3,0,0,0,0,0,4,8,1,0,3,1,114,12,3,0,0,1,0
60,26,3,0,0,26,14,34,15,1,2,7,5,1.4,380,16,3,0,0,1,0
2,4,1,0,0,0,0,0,0,0,0,0,1,0,43,11,0,0,0,2,0
7,11,3,0,0,0,0,0,16,0,0,0,5,1,68,1,0,0,0,0,0
24,26,5,0,8,0,0,4,0,4,3,6,5,0.8,93,10,4,0,0,2,0
88,158,27,0,0,17,12,7,167,64,5,0,4,1,79,67,1,0,0,5,0
40,67,5,0,0,0,0,0,0,0,7,0,6,1,13,59,0,0,0,3,0
36,27,7,0,0,8,19,17,3,5,13,4,3,1.33,92,12,3,0,0,1,0
34,52,3,0,46,0,8,10,0,3,32,0,4,1.5,374,10,2,0,0,6,0
3,7,0,0,0,0,0,0,0,0,0,0,1,0,183,1,0,0,0,4,0
86,61,10,2,0,34,25,81,23,22,2,6,6,1.17,23,18,5,0,1,4,0
33,49,6,0,0,8,11,11,20,14,31,2,5,1,56,42,4,0,0,2,0
38,39,4,0,0,18,10,17,11,14,1,4,5,1.4,127,15,1,0,0,5,0
89,152,2,0,0,0,0,0,0,7,75,7,6,0.83,0,50,8,0,0,4,0
15,25,2,0,0,0,0,0,0,3,5,0,3,2.33,373,15,0,0,0,5,0
32,39,2,0,0,0,0,0,5,4,8,3,4,1.5,31,2,2,0,0,4,0
25,26,2,0,0,9,9,12,3,0,15,2,2,0.5,108,14,1,0,0,2,0
73,42,2,0,0,36,29,29,6,1,2,5,7,1.43,13,11,4,0,0,3,0
6,13,2,0,0,0,0,0,1,1,0,0,1,0,182,70,0,0,0,3,0
121,60,7,0,0,66,24,20,41,47,31,5,6,1,22,72,5,0,1,2,0
16,7,0,0,0,13,11,6,0,0,0,0,3,1.33,89,6,1,0,0,1,0
8,9,2,0,0,0,0,0,3,1,1,0,2,0.5,152,6,0,0,0,6,0
24,75,8,0,0,0,0,0,6,10,1,0,3,1,116,2,0,0,0,3,0
21,35,2,0,0,0,1,0,0,2,11,4,5,1,67,6,2,0,0,5,0
79,77,0,0,0,31,24,19,9,5,1,3,4,1.5,41,7,3,0,0,4,0
30,23,1,0,0,1,21,16,7,0,5,4,3,1,106,23,3,0,0,3,0
76,24,5,0,0,34,13,24,36,6,3,8,5,0.8,93,23,5,0,0,2,0
29,47,5,0,0,0,0,0,7,14,3,0,1,0,184,20,0,0,0,4,0
18,2,1,0,0,11,26,13,7,2,0,2,3,2.33,376,16,0,0,0,2,0
82,36,1,0,0,42,61,38,8,7,5,1,7,1,18,24,7,0,0,1,0
38,42,12,0,0,24,6,16,6,4,2,0,6,6.83,82,6,2,0,1,4,0
63,26,3,0,0,35,26,53,15,3,7,11,4,19.25,369,42,2,0,1,5,0
77,54,3,0,0,43,22,25,35,8,1,10,6,0.83,379,27,4,0,0,5,0
81,56,0,0,0,34,16,24,18,0,0,11,6,1,16,17,5,0,0,2,0
90,37,2,0,0,47,43,42,22,0,1,3,7,1,375,17,3,0,0,1,0
202,174,12,0,0,43,69,74,31,24,73,26,5,0.8,379,111,12,0,0,3,0
96,61,11,0,0,34,22,34,18,10,33,14,7,1,23,18,6,0,0,1,0
18,19,3,0,0,8,4,1,4,4,1,0,2,1.5,118,1,1,0,0,2,0
54,40,6,1,0,12,60,24,12,11,4,4,4,1.5,43,24,4,0,1,3,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,165,1,0,0,0,5,0
5,12,0,0,0,0,0,0,6,2,0,0,2,1.5,113,2,0,0,0,2,0
12,19,0,0,49,0,0,0,0,2,0,0,2,3.5,16,1,1,0,0,3,0
56,89,10,0,0,58,16,46,47,15,1,1,4,1.5,43,25,3,0,0,2,0
6,7,0,3,0,0,2,0,0,0,0,6,8,0.88,22,3,1,2,0,4,0
44,44,6,0,0,74,103,67,8,7,0,12,4,0.75,0,52,4,0,0,5,0
64,120,15,0,0,18,9,12,3,13,38,0,6,1,36,29,1,0,0,2,0
157,123,13,0,0,38,242,94,18,10,70,27,8,0.88,378,54,12,0,0,5,0
9,5,1,0,0,0,0,0,18,8,0,6,1,0,89,114,3,0,0,5,0
40,59,10,4,0,9,7,6,0,4,4,1,3,1,117,147,1,0,0,1,0
4,7,2,0,0,0,0,0,0,1,0,0,3,2.33,20,1,0,0,0,4,0
66,110,11,0,14,0,0,0,12,11,10,21,8,0.88,20,40,5,0,0,5,0
34,33,6,0,0,10,11,12,17,9,3,2,5,1.2,381,12,0,0,0,2,0
51,21,7,0,0,25,11,19,13,7,3,1,1,0,79,33,3,0,0,3,0
58,10,4,0,0,35,55,30,7,5,4,2,5,1.2,45,23,5,0,0,2,0
19,15,1,0,0,11,0,0,11,2,2,0,3,1,104,8,2,0,0,5,0
72,40,2,0,0,35,23,24,12,0,2,4,6,0.83,68,16,5,0,0,1,0
84,67,7,0,0,25,11,21,21,4,1,8,4,1.75,367,20,2,0,0,5,0
83,36,7,0,0,44,38,56,20,8,0,5,6,1,43,26,5,0,0,2,0
19,27,1,0,0,39,17,20,1,3,1,0,2,1.5,90,20,2,0,0,2,0
69,49,2,0,0,25,20,38,9,2,1,3,4,1.25,69,25,4,0,0,5,0
39,29,1,0,0,17,39,25,6,1,49,3,4,1.75,377,19,1,0,0,4,0
31,37,6,0,0,9,1,1,3,6,3,0,4,1.25,68,15,1,0,0,4,0
76,28,4,0,0,25,13,22,21,19,7,2,3,0.67,66,165,6,0,0,2,0
156,111,13,0,0,42,63,69,21,3,87,15,8,0.88,20,7,9,0,0,2,0
38,19,1,0,0,17,14,12,6,0,0,2,3,0.67,140,12,2,0,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,2,3.5,380,1,0,0,0,2,0
4,8,1,0,0,0,0,0,0,0,1,1,4,0.75,89,1,0,0,0,4,0
19,9,0,0,0,8,26,17,0,0,11,0,2,0.5,80,20,2,0,0,4,0
1,5,1,0,0,0,0,0,0,0,0,0,1,0,182,59,0,0,0,2,0
54,28,3,0,44,63,18,21,10,16,8,0,5,1.4,22,13,3,0,0,1,0
11,2,1,0,0,0,3,5,3,2,0,0,2,3.5,20,10,1,0,0,4,0
136,184,1,0,0,48,52,40,43,24,3,21,8,0.88,18,29,7,0,0,5,0
37,60,4,0,7,0,0,3,11,3,11,0,5,1.4,379,50,0,0,0,4,0
107,88,2,0,0,46,24,32,18,12,33,13,7,0.86,379,36,7,0,0,3,0
4,3,0,0,0,0,0,0,0,0,0,1,1,0,178,2,0,0,0,4,0
6,11,0,0,0,0,0,0,0,0,0,5,4,0.75,106,1,0,0,0,5,0
24,30,1,0,0,0,0,0,0,6,2,0,5,1.4,369,11,2,0,0,5,0
2,3,0,0,0,0,0,0,0,0,0,0,1,0,178,2,0,0,0,2,0
33,39,3,0,0,9,5,9,6,4,4,2,3,1,110,22,2,0,0,4,0
86,31,4,0,0,44,22,39,25,4,5,12,4,0.75,86,26,4,0,0,5,0
5,7,0,0,0,0,0,0,0,0,0,0,2,1.5,42,4,1,0,0,2,0
87,40,3,0,0,34,17,33,36,6,1,17,6,0.83,62,15,6,0,0,4,0
81,53,5,0,0,65,18,64,34,13,0,5,6,1.17,370,20,3,0,0,5,0
5,12,3,0,0,0,0,0,0,0,1,0,1,0,188,7,0,0,0,2,0
113,72,6,0,32,34,83,30,24,24,25,11,7,1,20,49,7,0,0,4,0
110,69,3,0,0,34,16,47,20,8,18,11,5,1.4,21,32,7,0,0,2,0
126,104,5,0,0,44,28,25,24,0,2,11,7,1,21,39,5,0,0,4,0
175,129,22,0,842,44,31,56,45,92,35,16,8,0.88,372,94,8,0,0,5,0
91,52,6,0,0,42,77,68,8,5,12,8,8,1,19,18,5,0,0,5,0
42,65,11,2,0,0,15,9,0,8,43,4,6,1.5,45,8,4,1,0,5,0
13,16,4,0,0,4,13,17,6,6,10,0,3,2,33,80,2,0,0,1,0
5,12,1,0,0,0,0,0,0,0,0,0,1,0,91,1,0,0,0,3,0
100,64,3,0,73,44,57,35,18,3,6,12,7,0.86,43,27,6,0,0,4,0
19,20,3,0,71,0,0,0,3,10,2,0,4,1.75,18,12,2,0,0,2,0
95,83,12,0,0,103,22,29,25,19,21,8,5,0.8,60,70,3,0,0,4,0
90,49,9,0,0,55,26,72,29,13,8,22,6,1,45,25,5,0,0,2,0
8,13,0,0,0,0,0,0,0,0,0,0,2,1,128,2,1,0,0,3,0
5,14,1,0,0,0,0,0,0,1,26,2,4,0.75,113,1,0,0,0,3,0
55,53,8,0,0,17,15,18,8,3,5,5,3,2,42,21,2,0,0,2,0
73,61,2,0,0,140,16,24,18,3,25,2,5,1,67,39,2,0,0,6,0
28,50,3,0,0,0,0,0,3,3,2,0,8,0.88,380,3,1,0,0,1,0
20,10,1,0,0,9,8,14,11,1,1,1,2,1,140,7,1,0,0,5,0
74,64,2,0,0,20,13,11,27,0,1,4,7,0.86,36,20,5,0,0,5,0
45,55,1,0,1,0,0,3,0,11,1,0,6,0.83,68,33,4,0,0,4,0
2,3,0,0,0,0,0,0,0,0,0,0,1,0,188,1,0,0,0,2,0
67,42,4,0,0,40,58,56,6,4,1,9,3,0.67,0,58,3,0,0,1,0
41,23,6,0,0,17,15,20,8,7,21,3,4,0.75,108,15,2,0,0,3,0
87,60,10,0,0,66,42,38,1,6,3,9,7,1,373,35,3,0,0,3,0
65,18,2,0,0,34,34,27,12,3,0,7,5,0.8,86,59,4,0,0,4,0
57,62,1,0,0,5,38,5,0,4,56,1,3,0.67,62,64,2,0,0,6,0
45,20,2,0,0,17,12,31,13,1,0,3,6,1.17,368,11,2,0,0,2,0
111,39,11,0,0,43,26,46,38,33,7,7,6,1,45,31,9,0,0,5,0
87,45,1,0,0,34,31,40,21,1,1,23,6,1,42,22,5,0,0,5,0
60,84,7,0,26,0,0,0,6,19,4,5,6,1.17,372,23,3,0,0,6,0
69,43,5,0,0,27,20,21,10,5,0,4,6,1.17,19,11,3,0,0,4,0
44,46,0,0,0,11,4,6,3,1,12,0,4,0.75,116,22,4,0,0,6,0
40,58,1,0,305,0,0,1,5,25,27,27,6,1,31,119,9,0,0,4,0
126,112,5,1,173,43,57,59,20,17,34,7,6,1.17,370,180,6,0,1,2,0
5,14,1,0,0,0,0,0,2,2,1,0,2,1.5,105,35,1,0,0,3,0
5,12,1,0,0,0,0,0,1,2,1,0,2,0.5,156,3,0,0,0,3,0
6,8,0,0,0,0,0,0,0,3,5,1,2,1,117,7,1,0,0,3,0
182,101,10,1,168,34,95,95,146,37,37,19,8,0.88,364,41,15,1,0,4,0
92,48,10,0,0,44,41,70,30,7,0,10,6,1.17,375,19,3,0,0,4,0
0,22,0,0,0,43,40,24,1,4,0,0,4,1,20,20,4,0,0,2,0
112,105,21,0,341,70,25,64,25,84,66,0,7,0.86,379,102,6,0,0,6,0
0,93,0,0,4,68,36,42,18,19,26,2,6,1,369,209,5,0,0,5,0
14,27,2,0,66,0,0,0,6,4,7,0,3,1,116,6,0,0,0,5,0
